Mã số thuế SOE1,Mã số thuế SOE2,Doanh thu,Ngành nghề kinh doanh chính,Địa chỉ,Thành Phố,Tên SOE2,Tên SOE1
0101245486,0106603488,,Xây dựng nhà các loại,"Số 7, đường Bằng Lăng 1, Khu đô thị sinh thái Vinhomes River - Phường Việt Hưng - Quận Long Biên - Hà Nội",Hà Nội,Công Ty TNHH Quản Lý Xây Dựng Vincom 2,Tập đoàn Vingroup - Công ty CP
0101245486,0106629623,,Xây dựng nhà các loại,"Số 7, đường Bằng Lăng 1, khu đô thị Sinh thái Vinhomes River - Phường Việt Hưng - Quận Long Biên - Hà Nội",Hà Nội,Công Ty TNHH Quản Lý Xây Dựng Vincom 3,Tập đoàn Vingroup - Công ty CP
0101245486,0106760924,,Bán lẻ khác trong các cửa hàng kinh doanh tổng hợp,"Số 7, đường Bằng Lăng 1, khu đô thị Sinh thái Vinhomes River - Quận Long Biên - Hà Nội",Hà Nội,Công Ty TNHH Kinh Doanh Thương Mại Và Dịch Vụ Vinds,Tập đoàn Vingroup - Công ty CP
0101245486,0106827752,475710836444,"Trồng rau, đậu các loại và trồng hoa, cây cảnh","Khu Nông nghiệp ứng dụng công nghệ cao, Xã Hồng Thái Tây, Thị xã Đông Triều, Tỉnh Quảng Ninh",Quảng Ninh,Chi Nhánh Công Ty TNHH Đầu Tư Sản Xuất Phát Triển Nông Nghiệp Vineco Tại Tỉnh Quảng Ninh,Tập đoàn Vingroup - Công ty CP
0101245486,0108166836,0,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê","Số 7, Đường Bằng Lăng 1, Khu đô thị Vinhomes Riverside, Phường Việt Hưng, Quận Long Biên, Thành phố Hà Nội",Hà Nội,Công Ty TNHH Kinh Doanh Và Phát Triển Đô Thị Nam Hà Nội,Tập đoàn Vingroup - Công ty CP
0101245486,0109872993,, 4.  Giáo dục tiêu học 8521(Chính),"Số 7, Đường Băng Lăng I, KĐT sinh thái Vinhomes Riverside, Phường Việt Hưng, Quận Long Biên, Thành phô Hà Nội, Việt Nam 02439748888",Thành phô Hà Nội,CÔNG TY TNHH WORLD ACADEMY,Tập đoàn Vingroup - Công ty CP
0101245486,0312608890,0,,,,,Tập đoàn Vingroup - Công ty CP
0101245486,0313085234,,,,,,Tập đoàn Vingroup - Công ty CP
0101245486,0315244218,,,,,,Tập đoàn Vingroup - Công ty CP
0101245486,4201583817,,Hoạt động của các công viên vui chơi và công viên theo chủ đề,Đảo Hòn Tre - Phường Vĩnh Nguyên - Thành phố Nha Trang - Khánh Hòa,Khánh Hòa,Công Ty TNHH Vinpearlland,Tập đoàn Vingroup - Công ty CP
0101871229,0107372667,0,"Hoạt động chuyên môn, khoa học và công nghệ khác chưa được phân vào đâu","Tầng 21, tòa Center Building, số 1 Nguyễn Huy Tưởng - Phường Thanh Xuân Trung - Quận Thanh Xuân - Hà Nội",Hà Nội,Công Ty TNHH Liên Minh Bản Quyền Số Việt Nam,Công ty Cổ phần VCCorp
0101871229,0107396386,12541439441,Cổng thông tin,"Tầng 19 tòa nhà Center Building, số 1 phố Nguyễn Huy Tưởng - Phường Thanh Xuân Trung - Quận Thanh Xuân - Hà Nội",Hà Nội,Công Ty TNHH Nội Dung Số Pega,Công ty Cổ phần VCCorp
0101871229,0107641084,0,Quảng cáo,"Tầng 22, tòa nhà Center Building (Tòa văn phòng), số 1 Nguyễ - Phường Thanh Xuân Trung - Quận Thanh Xuân - Hà Nội",Hà Nội,Công Ty TNHH Đầu Tư Chân Trời Mới,Công ty Cổ phần VCCorp
0101871229,0109197040,1586691,,,,,Công ty Cổ phần VCCorp
0100100008,0102023408,,Hoàn thiện sản phẩm dệt,Khu công nghiệp Dệt may Phố Nối B - Xã Nghĩa Hiệp - Huyện Yên Mỹ - Hưng Yên,Hưng Yên,Công Ty TNHH Một Thành Viên Nhuộm Và Hoàn Tất Vải Vinatex,Tập đoàn Dệt may
0100100008,0102594320,,,,,,Tập đoàn Dệt may
0100105870,0100777505,7943584838,Hoạt động xây dựng chuyên dụng,"Tầng 26 tháp A, tòa nhà Sông Đà HH4, đường Phạm Hùng - Phường Mỹ Đình 2 - Quận Nam Từ Liêm - Hà Nội",Hà Nội,Công ty tNHH tư vấn xây dựng Sông Đà - UCRIN,TCT Sông Đà
0100106232,0104854447,39230358180,,,,,Tcty Phát triển nhà UDIC
0105301438,0106803215,1869907976513,Cổng thông tin,"Tầng 2, tòa nhà Machinco, số 444 Hoàng Hoa Thám - Phường Thuỵ Khuê - Quận Tây Hồ - Hà Nội",Hà Nội,Công Ty TNHH Dịch Vụ Phần Mềm Thiên Bình,Thể thao điện tử
0105301438,0106803303,11564888696,Cổng thông tin,"Tầng 2, tòa nhà Machinco, số 444 Hoàng Hoa Thám - Phường Thuỵ Khuê - Quận Tây Hồ - Hà Nội",Hà Nội,Công Ty TNHH Dịch Vụ Phần Mềm Bình Minh,Thể thao điện tử
0101248141,0109525069,9010470080,Hoạt động tư vấn quản lý,"Số 17 Phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội",Hà Nội,Công Ty TNHH Fpt Digital,Tập đoàn FPT
0100109106,0104315477,,,,,,Tập đoàn Công nghiệp - Viễn thông quân đội
0100109106,0104831030,18899880353554,,,,,Tập đoàn Công nghiệp - Viễn thông quân đội
0100109106,0500141369,1945638274562,Sản xuất thiết bị truyền thông,Thôn Ngãi Cầu - Xã An Khánh - Huyện Hoài Đức - Hà Nội,Hà Nội,Công Ty TNHH Một Thành Viên Thông Tin M1,Tập đoàn Công nghiệp - Viễn thông quân đội
